customer_city,product_category_name,seller_id,maior_venda
niteroi,relogios_presentes,2bf6a2c1e71bbd29a4ad64e6d3c3629f,4400.00
niteroi,eletrodomesticos_2,e882b2a25a10b9c057cc49695f222c19,2110.00
niteroi,moveis_escritorio,7c67e1448b00f6e969d365cea6b010ab,2018.23
niteroi,cama_mesa_banho,da8622b14eb17ae2831f4ac5b9dab84a,1663.60
niteroi,fashion_bolsas_e_acessorios,b372ee768ed69e46ca8cdbd267aa7a38,1650.00
niteroi,perfumaria,620c87c171fb2a6dd6e8bb4dec959fc6,1506.00
niteroi,pcs,53243585a1d6dc2643021fd1853d8905,1437.00
niteroi,beleza_saude,458d868c9642f55f18f04e951a3fdde6,1359.00
niteroi,esporte_lazer,218d46b86c1881d022bce9c68a7d4b15,1299.00
niteroi,moveis_decoracao,1025f0e2d44d7041d6cf58b6550e0bfa,1270.80
niteroi,cool_stuff,850f4f8af5ea87287ac68de36e29107f,1198.89
niteroi,papelaria,3d871de0142ce09b7081e2b9d1733cb1,1100.90
niteroi,informatica_acessorios,e9bc59e7b60fc3063eb2290deda4cced,1088.50
niteroi,construcao_ferramentas_jardim,d51e0a403fe2e689ece6c73359d96e12,1005.00
